id,country,country_2,response
10062,1,Argentina,0
10272,1,Argentina,0
10142,1,Argentina,100
10393,1,Argentina,0
10060,1,Argentina,100
10341,1,Argentina,100
10345,1,Argentina,0
10013,1,Argentina,100
10295,1,Argentina,100
10334,1,Argentina,100
10090,1,Argentina,100
10288,1,Argentina,100
10159,1,Argentina,100
10009,1,Argentina,100
10167,1,Argentina,0
10056,1,Argentina,0
10057,1,Argentina,0
10192,1,Argentina,100
10263,1,Argentina,0
10352,1,Argentina,100
10110,1,Argentina,100
10038,1,Argentina,0
10036,1,Argentina,0
10264,1,Argentina,0
10279,1,Argentina,100
10079,1,Argentina,100
10162,1,Argentina,0
10010,1,Argentina,100
10223,1,Argentina,100
10224,1,Argentina,100
10320,1,Argentina,0
10055,1,Argentina,0
10141,1,Argentina,100
10051,1,Argentina,100
10191,1,Argentina,100
10285,1,Argentina,0
10220,1,Argentina,0
10073,1,Argentina,100
10098,1,Argentina,0
10294,1,Argentina,0
10049,1,Argentina,0
10147,1,Argentina,100
10332,1,Argentina,0
10384,1,Argentina,0
10171,1,Argentina,0
10388,1,Argentina,0
10083,1,Argentina,0
10028,1,Argentina,0
10014,1,Argentina,100
10292,1,Argentina,0
10239,1,Argentina,0
10256,1,Argentina,100
10246,1,Argentina,0
10324,1,Argentina,0
10042,1,Argentina,0
10291,1,Argentina,0
10045,1,Argentina,0
10155,1,Argentina,100
10154,1,Argentina,100
10183,1,Argentina,0
10080,1,Argentina,100
10270,1,Argentina,0
10102,1,Argentina,100
10021,1,Argentina,100
10173,1,Argentina,0
10175,1,Argentina,0
10268,1,Argentina,100
10356,1,Argentina,0
10097,1,Argentina,100
10282,1,Argentina,100
10023,1,Argentina,0
10193,1,Argentina,100
10113,1,Argentina,100
10077,1,Argentina,0
10072,1,Argentina,0
10255,1,Argentina,100
10308,1,Argentina,100
10397,1,Argentina,0
10107,1,Argentina,0
10336,1,Argentina,100
10307,1,Argentina,0
10361,1,Argentina,0
10185,1,Argentina,100
10115,1,Argentina,0
10103,1,Argentina,100
10358,1,Argentina,0
10238,1,Argentina,0
10190,1,Argentina,0
10305,1,Argentina,0
10209,1,Argentina,0
10189,1,Argentina,0
10300,1,Argentina,100
